SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
56003373,4.8,6.67,3.0,-1,-1,-1,6.5,8.0,9.25,-1,7.92
56003374,6.6,7.25,5.0,6.75,6.75,7.0,-1,-1,-1,6.83,-1
56003375,3.2,5.5,2.8,2.25,3.0,4.25,-1,-1,-1,3.17,-1
56003376,4.8,7.0,4.8,5.75,5.25,4.75,-1,-1,-1,5.25,-1
56003377,7.2,6.5,6.4,6.75,7.5,7.5,-1,-1,-1,7.25,-1
56003378,5.8,6.5,6.8,-1,-1,-1,5.75,7.5,9.0,-1,7.42
56003379,7.0,5.25,4.6,5.75,6.25,4.25,-1,-1,-1,5.42,-1
56003380,6.8,6.0,5.4,5.5,5.5,6.5,-1,-1,-1,5.83,-1
56003381,6.6,6.5,4.6,5.25,5.0,5.5,-1,-1,-1,5.25,-1
56003382,6.4,6.5,6.2,-1,-1,-1,7.75,8.25,9.5,-1,8.5
56003383,2.8,-1,-1,-1,3.5,4.0,-1,-1,-1,-1,-1
56003384,6.2,2.75,3.2,-1,-1,-1,4.5,7.75,7.75,-1,6.67
56003385,5.0,5.75,3.4,5.25,5.5,4.0,-1,-1,-1,4.92,-1
56003386,5.4,7.0,4.8,5.25,7.0,7.25,-1,-1,-1,6.5,-1
56003387,4.2,1.75,-1,-1,-1,-1,5.25,6.0,-1,-1,-1
56003388,7.6,6.0,7.0,-1,-1,-1,8.25,8.75,9.25,-1,8.75
56003389,5.2,5.5,4.0,3.75,5.0,2.5,-1,-1,-1,3.75,-1
56003390,3.2,5.75,3.0,-1,-1,-1,9.25,9.25,7.5,-1,8.67
56003391,8.0,7.0,5.2,-1,-1,-1,5.5,8.5,8.25,-1,7.42
56003392,6.4,5.5,3.6,3.75,3.0,5.5,-1,-1,-1,4.08,-1
56003393,3.4,4.25,-1,-1,-1,-1,5.75,6.25,-1,-1,-1
56003394,1.6,1.5,-1,-1,-1,-1,3.25,3.75,-1,-1,-1
56003395,4.0,4.25,3.2,-1,-1,-1,5.5,6.5,8.25,-1,6.75
56003396,5.4,5.75,4.8,5.75,6.75,8.75,-1,-1,-1,7.08,-1
56003397,5.2,4.0,3.6,6.0,5.25,4.25,-1,-1,-1,5.17,-1
56003398,7.2,6.0,7.4,5.5,6.5,7.5,-1,-1,-1,6.5,-1
56003399,6.4,5.5,4.4,4.75,5.75,7.75,-1,-1,-1,6.08,-1
56003400,5.2,5.5,3.6,5.5,4.75,4.75,-1,-1,-1,5.0,-1
56003401,4.6,5.5,3.8,-1,-1,-1,4.0,7.0,9.5,-1,6.83
56003402,5.2,6.0,1.4,-1,-1,-1,4.5,6.5,8.0,-1,6.33
56003403,7.0,4.75,5.4,6.25,6.75,5.75,-1,-1,-1,6.25,-1
56003404,5.8,5.75,3.2,5.5,5.25,3.5,-1,-1,-1,4.75,-1
56003405,5.4,5.0,4.4,5.75,5.25,2.75,-1,-1,-1,4.58,-1
56003406,2.8,5.75,4.4,-1,-1,-1,3.75,6.5,8.75,-1,6.33
56003407,6.8,5.0,4.8,5.75,6.5,6.75,-1,-1,-1,6.33,-1
56003408,4.8,7.5,7.0,6.25,5.75,6.25,6.0,8.5,8.5,6.08,7.67
56003409,5.0,5.25,2.8,4.0,3.25,5.25,5.0,7.0,7.25,4.17,6.42
56003410,4.8,4.75,4.6,-1,-1,-1,3.25,7.25,8.25,-1,6.25
56003411,5.2,5.25,3.2,5.75,4.75,4.75,6.75,8.25,8.0,5.08,7.67
56003412,6.2,6.0,4.4,6.25,5.5,5.25,-1,-1,-1,5.67,-1
56003413,3.2,4.5,3.6,-1,-1,-1,3.5,5.25,8.5,-1,5.75
56003414,6.8,6.5,5.4,5.75,7.0,4.25,-1,-1,-1,5.67,-1
56003415,4.0,4.25,3.0,-1,-1,-1,7.5,8.5,8.0,-1,8.0
56003416,7.2,6.5,6.0,-1,-1,-1,6.0,9.75,8.75,-1,8.17
56003417,7.4,8.25,8.8,-1,-1,-1,6.75,9.75,9.5,-1,8.67
56003418,4.8,5.5,3.6,-1,-1,-1,4.25,5.25,9.25,-1,6.25
56003419,3.0,5.0,3.6,4.0,3.0,4.75,6.5,8.0,9.0,3.92,7.83
56003420,3.8,6.0,4.4,-1,-1,-1,4.75,7.25,7.0,-1,6.33
